Instrument,Price To Book Value Per Share (Daily Time Series Ratio),Date
NESN.S,7.679053492,2022-01-02
NESN.S,7.499489937,2022-01-09
NESN.S,7.281362398,2022-01-16
NESN.S,7.293413643,2022-01-23
NESN.S,7.113850088,2022-01-30
NESN.S,7.176516564,2022-02-06
NESN.S,7.187362684,2022-02-13
NESN.S,6.1381974,2022-02-20
NESN.S,6.153776582,2022-02-27
NESN.S,6.018757011,2022-03-06
NESN.S,5.867119647,2022-03-13
NESN.S,6.285680316,2022-03-20
NESN.S,6.190128005,2022-03-27
NESN.S,6.276332807,2022-04-03
NESN.S,6.465360206,2022-04-10
NESN.S,6.446665189,2022-04-17
NESN.S,6.489248284,2022-04-24
NESN.S,6.543256112,2022-05-01
NESN.S,6.406159317,2022-05-08
NESN.S,6.363576222,2022-05-15
NESN.S,5.87854438,2022-05-22
NESN.S,6.054069822,2022-05-29
NESN.S,5.966826407,2022-06-05
NESN.S,5.717559508,2022-06-12
NESN.S,5.535802393,2022-06-19
NESN.S,5.797532638,2022-06-26
NESN.S,5.855694914,2022-07-03
NESN.S,5.95332445,2022-07-10
NESN.S,5.9834442,2022-07-17
NESN.S,6.036413416,2022-07-24
NESN.S,7.058838836,2022-07-31
NESN.S,7.00185405,2022-08-07
NESN.S,6.946081706,2022-08-14
NESN.S,7.08793745,2022-08-21
NESN.S,7.00185405,2022-08-28
NESN.S,6.875760055,2022-09-04
NESN.S,6.766640251,2022-09-11
NESN.S,6.475654109,2022-09-18
NESN.S,6.491415858,2022-09-25
NESN.S,6.491415858,2022-10-02
NESN.S,6.427156418,2022-10-09
NESN.S,6.405332458,2022-10-16
NESN.S,6.385933382,2022-10-23
NESN.S,6.532638895,2022-10-30
NESN.S,6.587198797,2022-11-06
NESN.S,6.550825529,2022-11-13
NESN.S,6.721779888,2022-11-20
NESN.S,6.850298767,2022-11-27
NESN.S,6.850298767,2022-12-04
NESN.S,6.622359622,2022-12-11
NESN.S,6.496265627,2022-12-18
NESN.S,6.536276222,2022-12-25
NESN.S,6.495053185,2023-01-01
NESN.S,6.735116752,2023-01-08
NESN.S,6.908495996,2023-01-15
NESN.S,6.792101539,2023-01-22
NESN.S,6.640546256,2023-01-29
NESN.S,6.776339789,2023-02-05
NESN.S,6.636908929,2023-02-12
NESN.S,6.945226288,2023-02-19
NESN.S,6.884214051,2023-02-26
NESN.S,6.835912697,2023-03-05
NESN.S,6.702448429,2023-03-12
NESN.S,6.949039552,2023-03-19
NESN.S,6.968105876,2023-03-26
NESN.S,7.083774909,2023-04-02
NESN.S,7.227407883,2023-04-09
NESN.S,7.180377617,2023-04-16
NESN.S,7.391378269,2023-04-23
NESN.S,7.278251413,2023-04-30
NESN.S,7.401546975,2023-05-07
NESN.S,7.307486444,2023-05-14
NESN.S,7.233763324,2023-05-21
NESN.S,7.121907557,2023-05-28
NESN.S,6.9655637,2023-06-04
NESN.S,6.810490931,2023-06-11
NESN.S,6.867689903,2023-06-18
NESN.S,6.913449081,2023-06-25
NESN.S,6.838454873,2023-07-02
NESN.S,6.651604898,2023-07-09
NESN.S,6.685924281,2023-07-16
NESN.S,6.651604898,2023-07-23
NESN.S,7.690853845,2023-07-30
NESN.S,7.461618261,2023-08-06
NESN.S,7.455887371,2023-08-13
NESN.S,7.440127425,2023-08-20
NESN.S,7.61062139,2023-08-27
NESN.S,7.554745217,2023-09-03
NESN.S,7.537552548,2023-09-10
NESN.S,7.5518797719183,2023-09-17
NESN.S,7.65790122953961,2023-09-24
NESN.S,7.43153109029411,2023-10-01
NESN.S,7.18510283744456,2023-10-08
NESN.S,7.38425125108459,2023-10-15
NESN.S,7.05472509901835,2023-10-22
NESN.S,6.98165625660365,2023-10-29
NESN.S,7.14570297143664,2023-11-05
NESN.S,7.11919760703131,2023-11-12
NESN.S,7.09125952022569,2023-11-19
NESN.S,7.19799733904715,2023-11-26
NESN.S,7.08839407542512,2023-12-03
NESN.S,7.11919760703131,2023-12-10
NESN.S,7.02821973461302,2023-12-17
NESN.S,6.96303086539991,2023-12-24
NESN.S,6.98523806260437,2023-12-31
NESN.S,7.06547051702051,2024-01-07
NESN.S,7.00171437020769,2024-01-14
NESN.S,6.97950717300323,2024-01-21
NESN.S,7.05544146021849,2024-01-28
NESN.S,7.06117234981964,2024-02-04
NESN.S,6.83480221057413,2024-02-11
NESN.S,6.95944905939919,2024-02-18
NESN.S,6.99293701394026,2024-02-25
NESN.S,6.78685255658135,2024-03-03
NESN.S,6.87999393054783,2024-03-10
NESN.S,6.98413625419539,2024-03-17
NESN.S,6.92033074604512,2024-03-24
NESN.S,7.02227287975647,2024-03-31
NESN.S,6.81472162910675,2024-04-07
NESN.S,6.82352238885161,2024-04-14
NESN.S,6.9848696508408,2024-04-21
NESN.S,6.79858690290783,2024-04-28
NESN.S,6.7267140316581,2024-05-05
NESN.S,6.98046927096836,2024-05-12
NESN.S,7.08607838790674,2024-05-19
NESN.S,6.77805179683648,2024-05-26
NESN.S,7.00833834349377,2024-06-02
NESN.S,7.18875391826349,2024-06-09
NESN.S,6.98780323742241,2024-06-16
NESN.S,6.87192656744837,2024-06-23
NESN.S,6.7267140316581,2024-06-30
NESN.S,6.78831934987216,2024-07-07
NESN.S,6.94233264540728,2024-07-14
NESN.S,6.87779374061161,2024-07-21
NESN.S,6.88060777383521,2024-07-28
NESN.S,6.99643238149304,2024-08-04
NESN.S,6.96512843347741,2024-08-11
NESN.S,7.02930152690945,2024-08-18
NESN.S,7.00738876329851,2024-08-25
NESN.S,7.12321337095634,2024-09-01
NESN.S,6.85086902322037,2024-09-08
NESN.S,6.85556461542271,2024-09-15
NESN.S,6.42043973800548,2024-09-22
NESN.S,6.66774092732894,2024-09-29
NESN.S,6.55191631967112,2024-10-06
NESN.S,6.57382908328205,2024-10-13
NESN.S,6.72878362595942,2024-10-20
NESN.S,6.61608941310316,2024-10-27
NESN.S,6.47365644963204,2024-11-03
NESN.S,6.18096453568591,2024-11-10
NESN.S,6.06670512542887,2024-11-17
NESN.S,5.94775012296948,2024-11-24
NESN.S,5.98531486058823,2024-12-01
NESN.S,5.9289677541601,2024-12-08
NESN.S,5.88357702953744,2024-12-15
NESN.S,5.78966518549055,2024-12-22
NESN.S,5.82409952830774,2024-12-29
NESN.S,5.84601229191868,2025-01-05
NESN.S,5.7943607776929,2025-01-12
NESN.S,5.80688235689915,2025-01-19
NESN.S,5.84444709451791,2025-01-26
ULVR.L,7.205742297,2022-01-02
ULVR.L,7.221069905,2022-01-09
ULVR.L,7.236542611,2022-01-16
ULVR.L,6.740682383,2022-01-23
ULVR.L,6.989726554,2022-01-30
ULVR.L,6.919963437,2022-02-06
ULVR.L,7.17748398,2022-02-13
ULVR.L,7.106080208,2022-02-20
ULVR.L,6.826682474,2022-02-27
ULVR.L,6.335049227,2022-03-06
ULVR.L,6.067045229,2022-03-13
ULVR.L,6.104843791,2022-03-20
ULVR.L,6.088544771,2022-03-27
ULVR.L,6.229850774,2022-04-03
ULVR.L,6.345086269,2022-04-10
ULVR.L,6.19444488,2022-04-17
ULVR.L,6.304284503,2022-04-24
ULVR.L,6.639673063,2022-05-01
ULVR.L,6.296330099,2022-05-08
ULVR.L,6.606147254,2022-05-15
ULVR.L,6.224959721,2022-05-22
ULVR.L,6.119196786,2022-05-29
ULVR.L,6.503063305,2022-06-05
ULVR.L,6.380615819,2022-06-12
ULVR.L,6.26317342,2022-06-19
ULVR.L,6.499755131,2022-06-26
ULVR.L,6.597541685,2022-07-03
ULVR.L,6.782534786,2022-07-10
ULVR.L,6.874104132,2022-07-17
ULVR.L,6.883395524,2022-07-24
ULVR.L,6.036897559,2022-07-31
ULVR.L,5.962676169,2022-08-07
ULVR.L,5.848773945,2022-08-14
ULVR.L,5.977007567,2022-08-21
ULVR.L,5.877055527,2022-08-28
ULVR.L,5.720214879,2022-09-04
ULVR.L,5.778244714,2022-09-11
ULVR.L,5.691613663,2022-09-18
ULVR.L,5.712960445,2022-09-25
ULVR.L,5.724659418,2022-10-02
ULVR.L,5.659769984,2022-10-09
ULVR.L,5.65030797,2022-10-16
ULVR.L,5.724647089,2022-10-23
ULVR.L,5.78217844,2022-10-30
ULVR.L,5.862903718,2022-11-06
ULVR.L,5.703948585,2022-11-13
ULVR.L,5.890311837,2022-11-20
ULVR.L,6.060541911,2022-11-27
ULVR.L,6.169430934,2022-12-04
ULVR.L,6.080689886,2022-12-11
ULVR.L,6.01652616,2022-12-18
ULVR.L,6.062905874,2022-12-25
ULVR.L,5.986645876,2023-01-01
ULVR.L,6.044902153,2023-01-08
ULVR.L,6.027987526,2023-01-15
ULVR.L,5.912914081,2023-01-22
ULVR.L,5.809369284,2023-01-29
ULVR.L,5.898062804,2023-02-05
ULVR.L,5.911695802,2023-02-12
ULVR.L,6.036665873,2023-02-19
ULVR.L,6.012036021,2023-02-26
ULVR.L,5.945396106,2023-03-05
ULVR.L,6.121468124,2023-03-12
ULVR.L,6.150229386,2023-03-19
ULVR.L,6.350840178,2023-03-26
ULVR.L,6.346465044,2023-04-02
ULVR.L,6.531731374,2023-04-09
ULVR.L,6.47438077,2023-04-16
ULVR.L,6.614428659,2023-04-23
ULVR.L,6.737531885,2023-04-30
ULVR.L,6.719083577,2023-05-07
ULVR.L,6.654916297,2023-05-14
ULVR.L,6.549713439,2023-05-21
ULVR.L,6.38753798,2023-05-28
ULVR.L,6.278643114,2023-06-04
ULVR.L,6.180746321,2023-06-11
ULVR.L,6.335190161,2023-06-18
ULVR.L,6.355577395,2023-06-25
ULVR.L,6.351488447,2023-07-02
ULVR.L,6.217405895,2023-07-09
ULVR.L,6.194760508,2023-07-16
ULVR.L,6.28002823,2023-07-23
ULVR.L,6.434932137,2023-07-30
ULVR.L,6.185656763,2023-08-06
ULVR.L,6.184485484,2023-08-13
ULVR.L,6.090252693,2023-08-20
ULVR.L,6.139253136,2023-08-27
ULVR.L,6.148535783,2023-09-03
ULVR.L,6.15064000522028,2023-09-10
ULVR.L,6.23148805573168,2023-09-17
ULVR.L,6.17599374496488,2023-09-24
ULVR.L,6.121704709233,2023-10-01
ULVR.L,5.92685550927389,2023-10-08
ULVR.L,5.9245115415184,2023-10-15
ULVR.L,5.98192569491319,2023-10-22
ULVR.L,5.72630769917109,2023-10-29
ULVR.L,5.80683294668759,2023-11-05
ULVR.L,5.90158997286969,2023-11-12
ULVR.L,5.69391604606297,2023-11-19
ULVR.L,5.70435722253446,2023-11-26
ULVR.L,5.76285513101562,2023-12-03
ULVR.L,5.76557027416722,2023-12-10
ULVR.L,5.70672260643836,2023-12-17
ULVR.L,5.70517599729584,2023-12-24
ULVR.L,5.72428548258013,2023-12-31
ULVR.L,5.81208510686219,2024-01-07
ULVR.L,5.84898076801391,2024-01-14
ULVR.L,5.64860222304347,2024-01-21
ULVR.L,5.84489460405266,2024-01-28
ULVR.L,5.9118703007683,2024-02-04
ULVR.L,6.12256548257107,2024-02-11
ULVR.L,6.15358264796489,2024-02-18
ULVR.L,6.12588948616244,2024-02-25
ULVR.L,5.89687659867957,2024-03-03
ULVR.L,5.88866411909007,2024-03-10
ULVR.L,6.22426978394936,2024-03-17
ULVR.L,6.40570437497005,2024-03-24
ULVR.L,6.42543728098502,2024-03-31
ULVR.L,6.18095629526944,2024-04-07
ULVR.L,6.13258680042485,2024-04-14
ULVR.L,6.11245569736697,2024-04-21
ULVR.L,6.66841919627812,2024-04-28
ULVR.L,6.74525826255157,2024-05-05
ULVR.L,6.88656282834634,2024-05-12
ULVR.L,6.96478231144559,2024-05-19
ULVR.L,6.97088014298166,2024-05-26
ULVR.L,6.94532450089162,2024-06-02
ULVR.L,7.15226688427722,2024-06-09
ULVR.L,7.28533370415336,2024-06-16
ULVR.L,7.24405365575922,2024-06-23
ULVR.L,7.0824666089006,2024-06-30
ULVR.L,7.06784172881542,2024-07-07
ULVR.L,7.29618862576552,2024-07-14
ULVR.L,7.37456958695586,2024-07-21
ULVR.L,6.90942940452911,2024-07-28
ULVR.L,6.98908915460658,2024-08-04
ULVR.L,6.79601667388461,2024-08-11
ULVR.L,6.82158711749639,2024-08-18
ULVR.L,6.98096761893942,2024-08-25
ULVR.L,7.16556533666382,2024-09-01
ULVR.L,7.25568418525828,2024-09-08
ULVR.L,7.19270604956187,2024-09-15
ULVR.L,7.11946640244367,2024-09-22
ULVR.L,7.20691037898654,2024-09-29
ULVR.L,7.02725891558854,2024-10-06
ULVR.L,7.05772767828398,2024-10-13
ULVR.L,7.13097987931189,2024-10-20
ULVR.L,7.02847550991041,2024-10-27
ULVR.L,6.9708200351626,2024-11-03
ULVR.L,6.72344170604058,2024-11-10
ULVR.L,6.68285461641687,2024-11-17
ULVR.L,6.93809331066695,2024-11-24
ULVR.L,6.9601601311199,2024-12-01
ULVR.L,6.85622782658897,2024-12-08
ULVR.L,6.88686562698491,2024-12-15
ULVR.L,6.75402725084804,2024-12-22
ULVR.L,6.78741192037566,2024-12-29
ULVR.L,6.75533639887158,2025-01-05
ULVR.L,6.63978029814612,2025-01-12
ULVR.L,6.67720712972818,2025-01-19
ULVR.L,6.64287903068052,2025-01-26
OREP.PA,7.847440657,2022-01-02
OREP.PA,7.708164819,2022-01-09
OREP.PA,7.140709882,2022-01-16
OREP.PA,7.067307751,2022-01-23
OREP.PA,6.928031913,2022-01-30
OREP.PA,6.921444542,2022-02-06
OREP.PA,6.849924517,2022-02-13
OREP.PA,6.789697127,2022-02-20
OREP.PA,6.661713924,2022-02-27
OREP.PA,6.331404334,2022-03-06
OREP.PA,6.365282241,2022-03-13
OREP.PA,6.826398193,2022-03-20
OREP.PA,7.930496359,2022-03-27
OREP.PA,8.347054562,2022-04-03
OREP.PA,8.350459669,2022-04-10
OREP.PA,8.205175065,2022-04-17
OREP.PA,8.013353985,2022-04-24
OREP.PA,7.920281035,2022-05-01
OREP.PA,7.173427363,2022-05-08
OREP.PA,7.546854199,2022-05-15
OREP.PA,6.987281463,2022-05-22
OREP.PA,7.373193695,2022-05-29
OREP.PA,7.443565925,2022-06-05
OREP.PA,7.145051464,2022-06-12
OREP.PA,6.983876355,2022-06-19
OREP.PA,7.646737365,2022-06-26
OREP.PA,7.477617005,2022-07-03
OREP.PA,7.50145276,2022-07-10
OREP.PA,7.727324919,2022-07-17
OREP.PA,8.026974417,2022-07-24
OREP.PA,8.356134849,2022-07-31
OREP.PA,7.40746499,2022-08-07
OREP.PA,7.444693629,2022-08-14
OREP.PA,7.490195298,2022-08-21
OREP.PA,7.295779074,2022-08-28
OREP.PA,7.131352586,2022-09-04
OREP.PA,7.141693874,2022-09-11
OREP.PA,7.012427767,2022-09-18
OREP.PA,6.738383621,2022-09-25
OREP.PA,6.830421089,2022-10-02
OREP.PA,6.786987677,2022-10-09
OREP.PA,6.749759038,2022-10-16
OREP.PA,6.41366716,2022-10-23
OREP.PA,6.499499855,2022-10-30
OREP.PA,6.647380281,2022-11-06
OREP.PA,7.17271774,2022-11-13
OREP.PA,7.19960509,2022-11-20
OREP.PA,7.244072631,2022-11-27
OREP.PA,7.46123969,2022-12-04
OREP.PA,7.342314872,2022-12-11
OREP.PA,6.944175263,2022-12-18
OREP.PA,6.89246882,2022-12-25
OREP.PA,6.899707722,2023-01-01
OREP.PA,7.41677215,2023-01-08
OREP.PA,7.733215579,2023-01-15
OREP.PA,7.867652331,2023-01-22
OREP.PA,7.827321305,2023-01-29
OREP.PA,7.950382639,2023-02-05
OREP.PA,7.76837596,2023-02-12
OREP.PA,7.954519154,2023-02-19
OREP.PA,7.713567131,2023-02-26
OREP.PA,7.856276913,2023-03-05
OREP.PA,7.731147322,2023-03-12
OREP.PA,7.487708646,2023-03-19
OREP.PA,7.838218084,2023-03-26
OREP.PA,8.098146432,2023-04-02
OREP.PA,8.075501159,2023-04-09
OREP.PA,8.283246922,2023-04-16
OREP.PA,8.715476257,2023-04-23
OREP.PA,8.521514574,2023-04-30
OREP.PA,8.358074779,2023-05-07
OREP.PA,8.292108115,2023-05-14
OREP.PA,8.301953886,2023-05-21
OREP.PA,8.093223547,2023-05-28
OREP.PA,8.030210614,2023-06-04
OREP.PA,7.919937982,2023-06-11
OREP.PA,8.171005135,2023-06-18
OREP.PA,8.002642456,2023-06-25
OREP.PA,8.410257364,2023-07-02
OREP.PA,7.928799175,2023-07-09
OREP.PA,8.301953886,2023-07-16
